title;company;salary;payment_frequency;experience;employment;hiring_format;schedule;hours;work_format;skills;url;description
Водитель погрузчика (4 разряд);ОАО Гродненский ликеро-водочный завод;От 1 200 до 1 500 Br за месяц на руки;Два раза в месяц;1 3 года;Полная занятость;Не указано;5/2 и другие варианты;Вечерние или ночные смены,8;На месте работодателя;Управление погрузчиком;https://grodno.rabota.by/vacancy/131749556;"Обязанности: Управление автопогрузчиками Устранение возникших во время работы мелких технических неисправностей, выполнение регулировочных работ Должен знать устройство обслуживаемых погрузчиков; способы погрузки, выгрузки грузов из всех видов транспорта; правила подъема, перемещения и укладки грузов; правила дорожного движения, движения по территории предприятия, пристанционным путям и установленную сигнализацию; элементарные сведения по электротехнике. Требования: Прохождение медицинской комиссии для организаций пищевой промышленности Услов ия: полная занятость, 8-часовой рабочий день; социальный пакет в соответствии с Трудовым кодексом Республики Беларусь; социальный пакет в соответствии с Коллективным договором (ДМС, дополнительные выплаты к значимым мероприятиям и датам)."
Производитель работ (прораб)/начальник участка;Гродненский филиал ООО БМСУ-4;От 3 500 Br за месяц на руки;Два раза в месяц;3 6 лет;Полная занятость;Не указано;Не указано;10 или 12;На месте работодателя;Проектная документация, Деловая коммуникация, Строительный контроль, Ведение документации, Управленческие навыки, Умение принимать решения, Руководство коллективом, Деловое общение, Документальное сопровождение, Строительство, Умение работать в коллективе, Производство строительно-монтажных работ, Контроль качества, Чтение чертежей, Управление производством;https://grodno.rabota.by/vacancy/129485827;"Гродненский областной филиал ООО ""БМСУ-4"" - строительная компания, основанная на ответственности и высоких стандартах качества. Мы ищем амбициозных и целеустремленных людей, готовых присоединиться к нашей команде. Организация занимается строительством промышленных объектов, молочно-товарных ферм, благоустройством, прокладкой наружных сетей ВК, теплотрасс, строительством объектов нефтяной и газовой промышленности. Окончательная заработная плата - по результатам собеседования!!! Строительный объект находится в город Скидель. Обязанности: руководство производственно-хозяйственной деятельностью на отведенном участке работы; планирование и организация работ, контроль качества и сроков выполнения, управление подчиненными и техникой, ведение необходимой документации. Требования: высшее, среднее специальное или профессионально-техническое образование с предъявлением требований к стажу работы от 3 до 5 лет. Условия: Официальное трудоустройство в соответствии с действующим законодательством; График работы - вахтовый (11/3, 10/4); Работа на объектах строительства, расположенных на всей территории РБ (командировка); Предоставление жилья; Возмещение затрат на использование личного транспорта (разъездной характер работ); Корпоративная мобильная связь; социальный пакет в соответствии с законодательством РБ. Ссылка на вакансию в банке вакансий на gsz.gov. by:"
Продавец (Ул. Наполеона Орды, 12);ЗАО Доброном;От 1 500 до 2 000 Br за месяц до вычета налогов;Два раза в месяц;Не требуется;Полная занятость;Не указано;2/2;12;Не указано;Не указаны;https://grodno.rabota.by/vacancy/129949041;"Сеть магазинов ""Копеечка"", ""МАЯК"" и ""Доброном"" приглашает на постоянное место работы ПРОДАВЦА Мы предлагаем: Работу рядом с домом: подберем рабочее место максимально близкое и удобное к вашему дому; Комфортный график работы: приоритетно сменный, но всегда подбираем индивидуально; Возможность карьерного роста: создаем кадровый резерв, обучаем, сопровождаем, обеспечиваем условия для быстрого старта по карьерной лестнице, наставники за обучение получают премию; Не важно какое у вас образование и опыт! Мы обучаем, выдаём свидетельство государственного образца о присвоении квалификационного разряда по профессиям «продавец», «контролер-кассир»; Дополнительный заработок для работников сети: подработка в торговых объектах с повышенной оплатой за час или смену; В обеденное время для всех сотрудников компании предусмотрена скидка 50% на продукцию собственного производства; Каждому работнику предоставляются скидки и бонусы от 6 % в рамках программы лояльности для работников в сети магазинов ""Доброном"" и ""Копеечка"", а также в сети партнеров; Компенсируем затраты на медицинский осмотр; Мы заботимся о своих сотрудниках и их детях- предоставляем санаторно-курортное лечение и оздоровление, выдаем подарки к праздникам, знаменательным датам, оказываем помощь в трудных жизненных ситуациях; Профсоюзная организация компании обеспечивает участие в экскурсионных турах, оказывает материальную помощь к различным жизненным событиям, дает возможность посещения бассейна, спортзала, со скидкой); Официальное трудоустройство согласно Трудовому Кодексу Республики Беларусь, социальные гарантии, своевременная (2 раза в месяц) выплата заработной платы. Обязанности: Выкладка товара в торговом зале; Соблюдение стандартов обслуживания. Требования: Приглашаем без опыта работы всему научим; Желание работать. Ссылка на портал ГСЗ: Ждем Вас в свою команду!"
"Контролер-кассир (Гродно, магазин ""Маяк"")";ЗАО Доброном;От 1 650 до 2 150 Br за месяц до вычета налогов;Не указано;Не требуется;Полная занятость;Не указано;2/2;12;Не указано;Организаторские навыки, Пользователь ПК, Работа в команде, Мерчандайзинг, MS Internet Explorer;https://grodno.rabota.by/vacancy/115740167;"Сеть магазинов ""Копеечка"" ""Маяк"" ""Доброном"" приглашает на постоянное место работы КОНТРОЛЕРА-КАССИРА, подберем вакансию ближе к дому. Мы предлагаем: Работу рядом с домом: подберем рабочее место максимально близкое и удобное к вашему дому. Комфортный график работы: приоритетно сменный, но всегда подбираем индивидуально. Возможность карьерного роста: создаем кадровый резерв, обучаем, сопровождаем, обеспечиваем условия для быстрого старта по карьерной лестнице, наставники за обучение получают премию! Не важно какое у вас образование и опыт! Мы обучаем, выдаём свидетельство государственного образца о присвоении квалификационного разряда по профессиям «продавец», «контролер-кассир». Дополнительный заработок для работников сети: подработка в торговых объектах с повышенной оплатой за час или смену. В обеденное время для всех сотрудников компании предусмотрена скидка 50% на продукцию собственного производства. Каждому работнику предоставляются скидки и бонусы от 6 % в рамках программы лояльности для работников в сети магазинов ""Доброном"" и ""Копеечка"", а также в сети партнеров. Компенсируем затраты на медицинский осмотр; Мы заботимся о своих сотрудниках и их детях- предоставляем санаторно-курортное лечение и оздоровление, выдаем подарки к праздникам, знаменательным датам, оказываем помощь в трудных жизненных ситуациях; Профсоюзная организация компании обеспечивает участие в экскурсионных турах, оказывает материальную помощь к различным жизненным событиям, дает возможность посещения бассейна, спортзала, со скидкой); Официальное трудоустройство согласно Трудовому Кодексу Республики Беларусь, социальные гарантии, своевременная (2 раза в месяц) выплата заработной платы; Обязанности: Расчёт покупателей; Выкладка товара в торговом зале; Соблюдение стандартов обслуживания. Требования: Приглашаем без опыта работы всему научим; Желание работать. Ссылка на портал ГСЗ: Ждем Вас в свою команду!"
"Старший контролер-кассир (""Копеечка"")";ЗАО Доброном;От 1 700 до 2 200 Br за месяц до вычета налогов;Не указано;1 3 года;Полная занятость;Не указано;2/2;12;Не указано;Управление персоналом, Организаторские навыки, Пользователь ПК, Работа с кассой, Ведение кассовой книги, Инкассация, Документальное сопровождение;https://grodno.rabota.by/vacancy/123898011;"Сеть магазинов «Копеечка»,«Маяк», «Доброном» приглашает на постоянное место работы СТАРШЕГО КОНТРОЛЕРА-КАССИРА Мы предлагаем: Работу рядом с домом: подберем рабочее место максимально близкое и удобное к вашему дому. Комфортный график работы: приоритетно сменный, но всегда подбираем индивидуально. Возможность карьерного роста: создаем кадровый резерв, обучаем, сопровождаем, обеспечиваем условия для быстрого старта по карьерной лестнице, наставники за обучение получают премию! Не важно какое у вас образование и опыт! Мы обучаем, выдаём свидетельство государственного образца о присвоении квалификационного разряда по профессиям «продавец», «контролер-кассир». Дополнительный заработок для работников сети: подработка в торговых объектах с повышенной оплатой за час или смену. В обеденное время для всех сотрудников компании предусмотрена скидка 50% на продукцию собственного производства. Каждому работнику предоставляются скидки и бонусы от 6 % в рамках программы лояльности для работников в сети магазинов ""Доброном"" и ""Копеечка"", а также в сети партнеров. Компенсируем затраты на медицинский осмотр; Мы заботимся о своих сотрудниках и их детях- предоставляем санаторно-курортное лечение и оздоровление, выдаем подарки к праздникам, знаменательным датам, оказываем помощь в трудных жизненных ситуациях; Профсоюзная организация компании обеспечивает участие в экскурсионных турах, оказывает материальную помощь к различным жизненным событиям, дает возможность посещения бассейна, спортзала, со скидкой); Официальное трудоустройство согласно Трудовому Кодексу Республики Беларусь, социальные гарантии, своевременная (2 раза в месяц) выплата заработной платы; Обязанности: Сверка суммы денежной выручки с показаниями кассовых счетчиков и в течение дня снятие показаний счетчиков суммирующих аппаратов и пересчет наличных денег в кассе, при необходимости работа в кассе; Разрешение спорных вопросов с потребителями в отсутствие администрации; Руководство работой контролеров-кассиров; Подготовка и проведение ежедневной инкассации наличной денежной выручки, с оформлением соответствующей документации; Расчет покупателей по наличному и безналичному расчету; Оформление документации при возврате наличных денежных средств покупателю; Проведение инвентаризации наличных денег с покупюрной описью и других ценностей, находящихся в кассе данного магазина с оформлением соответствующих документов. Требования: Наличие опыта работы старшим кассиром, контролером-кассиром будет преимуществом; Желание работать и совершенствовать свои навыки и умения; Внимательность, доброжелательность, ответственность, честность. Ссылка на портал ГСЗ : Ждем Вас в свою команду!"
"Контролер-кассир (Гродно, магазин ""Копеечка"")";ЗАО Доброном;От 1 500 до 2 000 Br за месяц до вычета налогов;Не указано;Не требуется;Полная занятость;Не указано;2/2;12;Не указано;Инкассация, Кассовые операции, Кассовые документы, Работа с кассой, Ведение кассовой книги;https://grodno.rabota.by/vacancy/110646810;"Сеть магазинов ""Копеечка"", ""МАЯК"", ""Доброном"" приглашает на постоянное место работы КОНТРОЛЕРА-КАССИРА по адресу город Гродно ул. Кабяка, 15 б, Гая, 2, Огинского, 19 Мы предлагаем: Работу рядом с домом: подберем рабочее место максимально близкое и удобное к вашему дому. Комфортный график работы: приоритетно сменный, но всегда подбираем индивидуально. Возможность карьерного роста: создаем кадровый резерв, обучаем, сопровождаем, обеспечиваем условия для быстрого старта по карьерной лестнице, наставники за обучение получают премию! Не важно какое у вас образование и опыт! Мы обучаем, выдаём свидетельство государственного образца о присвоении квалификационного разряда по профессиям «продавец», «контролер-кассир». Дополнительный заработок для работников сети: подработка в торговых объектах с повышенной оплатой за час или смену. В обеденное время для всех сотрудников компании предусмотрена скидка 50% на продукцию собственного производства. Каждому работнику предоставляются скидки и бонусы от 6 % в рамках программы лояльности для работников в сети магазинов ""Доброном"" и ""Копеечка"", а также в сети партнеров. Компенсируем затраты на медицинский осмотр; Мы заботимся о своих сотрудниках и их детях- предоставляем санаторно-курортное лечение и оздоровление, выдаем подарки к праздникам, знаменательным датам, оказываем помощь в трудных жизненных ситуациях; Профсоюзная организация компании обеспечивает участие в экскурсионных турах, оказывает материальную помощь к различным жизненным событиям, дает возможность посещения бассейна, спортзала, со скидкой); Официальное трудоустройство согласно Трудовому Кодексу Республики Беларусь, социальные гарантии, своевременная (2 раза в месяц) выплата заработной платы. Обязанности: Расчёт покупателей; Выкладка товара в торговом зале; Соблюдение стандартов обслуживания. Требования: Приглашаем без опыта работы всему научим; Желание работать. Общереспубликанский банк вакансий: Ждем Вас в свою команду!"
Слесарь-ремонтник (4 разряд);ЗАО ДИФА;От 1 600 Br за месяц до вычета налогов;Два раза в месяц;1 3 года;Полная занятость;Не указано;5/2;8;Не указано;Не указаны;https://grodno.rabota.by/vacancy/129401552;Обязанности : ремонт кузнечно-прессового и металлорежущего оборудования, знание пневмо- и гидроаппаратуры планово-предупредительные ремонты. Требования : профессионально-техническое образование и опыт работы по специальности. Условия : согласно трудовой кодекс. 2 смены
Грузчик (аг. Поречье);ООО Евроторг;От 1 340 до 1 640 Br за месяц до вычета налогов;Не указано;Не требуется;Частичная занятость;Не указано;2/2, по выходным или свободный;12 или по договорённости;Не указано;Приемка груза, Розничная торговля;https://grodno.rabota.by/vacancy/131478716;"ООО «Евроторг» (сеть магазинов «ЕВРООПТ» , «ХИТ!» и «ГРОШЫК») приглашает на постоянную работу ГРУЗЧИКА В АГ.ПОРЕЧЬЕ ОБЯЗАННОСТИ: Погрузо-разгрузочные работы. Расстановка и размещение грузов на складе и в торговом зале. ТРЕБОВАНИЯ: Дисциплинированный, ответственный. Честность, желание работать и зарабатывать. Гарантии для каждого сотрудника: Достойная заработная плата (2 раза в месяц на банковскую карту), которая будет расти вместе с Вашими результатами и квалификацией; Комфортные условия труда (фирменная одежда, удобные раздевалки, душевые, комнаты отдыха и приёма пищи); Материальная помощь в различных жизненных ситуациях, а также к отпуску в размере одной средней месячной заработной платы для сотрудников, отработавших в компании 2 и более лет; Работникам холдинга предоставляются бонусная карта ""Е-плюс. Сотрудник"" с повышенным размером бонусов; Обеды со скидкой 50%; Учитывается предыдущий стаж работы в магазинах ""Евроопт"", ""Хит"" и ""Грошык"" для дополнительных выплат; Зарплата указана с учетом ежемесячного сертификата - 120 рублей Приходи сам, приведи друга и получи 220 рублей Позитивный коллектив профессионалов; Удобный сменный график работы; Официальное трудоустройство с первого дня работы согласно Трудовому Кодексу Республики Беларусь; Социальные гарантии (оплачиваемый отпуск, больничные) ."
Повар;ГРИНрозница. GREEN;От 1 740 Br за месяц до вычета налогов;Не указано;1 3 года;Полная занятость;Не указано;Не указано;Не указано;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/131997874;"Мы рады, что Вы зашли посмотреть наши вакансии. Вы сделали правильный выбор, ведь работа в GREEN это достойная оплата труда и дружный коллектив. Что входит в обязанности: Приготовление блюд согласно стандартам компании; Соблюдение санитарных норм и правил; Поддержание чистоты и порядка на рабочем месте; Контроль качества продуктов и готовых блюд. Требования: Опыт работы поваром, если нет образования, то мы Вас обучим и присвоим профессию; Профильное образование будет преимуществом; Ответственность и внимательность к деталям; Желание учиться и совершенствоваться в профессии. Мы предлагаем: Работа в магазине GREEN по адресу город Гродно, ТРЦ «Triniti» пр-т. Янки Купалы, 87; Надбавка за стаж в ритейле с первого дня работы. Для трудоустроившихся в период с 20 апреля 2026 по 31 мая 2026 г. Официальное трудоустройство в соответствии с законодательством РБ (социальные гарантии: оплачиваемый отпуск, больничный и т.д); Своевременная конкурентоспособная заработная плата (2 раза в месяц на банковскую карточку); Дополнительные гарантии (членам профсоюза материальная помощь, подарки к Новому году и т.д.); Прохождение медкомиссии за счет компании; Доплата за стаж работы в компании; Возможность дополнительных выходов; Компенсация проезда иногородним; Социальная программа «СОТРУДНИКИ» с возможностью получения дополнительных бонусов в сети магазинов GREEN; Реальная возможность развития, обучения и профессионального роста. Откликайся и занимайся любимым делом вместе с GREEN! Вместе мы сможем больше! Cсылка на вакансию, опубликованную на центре занятости:"
Технолог швейного производства;Зэ Зэ Корпорейшн;От 1 900 до 2 200 Br за месяц на руки;Два раза в месяц;3 6 лет;Полная занятость;Не указано;2/2;8 или 12;На месте работодателя;Технический контроль производства, Контроль качества, Внимательность;https://grodno.rabota.by/vacancy/131964542;Обязанности: Мониторинг соблюдения технологических процессов на всех этапах производства: Раскрой Пошив ВТО Запуск первого образца. Полное изучение запуска первой единицы перед передачей кроя в массовый отшив. Составление последовательности операций. Запуск изделия в массовый отшив с соблюдением всех технологических требований по качеству продукции. Передача необходимых рекомендаций швейному персоналу по правильной технике выполнения работ. Межоперационный контроль. Проверка качества кроя до передачи в швейный цех, подтверждение точности исполнения по лекалам. Cравнение вырезанных деталей с оригинальными лекалами, детали соответствуют проектным размерам и форме. Вывод готовых раскладок для раскройного цеха. Условия: Полная занятость График 2/2, 12 часов с 07.00 до 19.00 Стабильная заработная плата 1700 бел. руб на руки. Долгосрочное сотрудничество Комфортное рабочее место Трудоустройство согласно трудовой кодекс Ссылка на вакансию в банке вакансий на gsz.gov. by:
Водитель грузового автомобиля;УП Гролинка;От 1 600 Br за месяц до вычета налогов;Два раза в месяц;Не требуется;Полная занятость;Трудовой договор;5/2;8;На месте работодателя, Права категории B, C;Не указаны;https://grodno.rabota.by/vacancy/131673647;"Обязанности: Доставка строительных материалов по город Гродно и РБ (Гродненская, Брестская области); Ответственность за сохранность ТМЦ; Погрузочно-разгрузочные работы вручную и с применением механизмов Требования: Права категории С,В Желание работать и зарабатывать Умение согласовано работать в команде Содержание авто в чистоте и исправном состоянии, навыки по обслуживанию авто Вежливость и тактичность при общении с партнерами компании и покупателями Условия: Полная занятость в стабильно работающей компании; Гарантированный социальный пакет; Оплата командировочных расходов; Своевременная выплата заработной платы, размер которой зависит от Ваших результатов работы. Ссылка на вакансию в банке вакансий на gsz.gov. by:"
Водитель-Международник СЕ;ООО Супереор-Транс;От 1 500 за месяц на руки;Не указано;3 6 лет;Полная занятость;Не указано;5/2;8;На месте работодателя;Не указаны;https://grodno.rabota.by/vacancy/131669363;Обязанности: Компания предлагает: работа на авто на Польских номерах, своевременная оплата, работа ЕС-РБ Взаимодействие с логистами компании, таможенными службами и клиентами. Контроль за сохранностью груза и соблюдением правил погрузки/разгрузки. Соблюдение ПДД, норм безопасности и экологических стандартов. Ведение путевой документации и отчетности. Требования: опыт работы по категории CЕ, наличие код 95, умение работать с транспортно-сопроводительными документами наличие визы, желание работать и зарабатывать, ответственность, порядочность.
Специалист по привлечению партнёров (B2B);Альфа-Банк: направление массового бизнеса;Не указано;Не указано;1 3 года;Полная занятость;Не указано;5/2;8;Разъездной;B2B Продажи, Работа с юридическими лицами, Навыки переговоров, Активные продажи, Навыки продаж, Деловое общение, Заключение договоров, Консультирование клиентов, Сопровождение клиентов, Холодные продажи, Телефонные переговоры, Деловая коммуникация, Теплые продажи, Консультативные продажи, Прямые продажи, Кросс-продажи, Выявление потребностей, Поиск и привлечение клиентов, Мониторинг рынка, Управление продажами, Навыки презентации, Деловые переговоры, Деловая переписка, Подготовка коммерческих предложений;https://grodno.rabota.by/vacancy/131918420;"Альфа Банк один из ведущих частных банков, который входит в число системно значимых банков Беларуси. Мы работаем как финтех-компания, интегрируя в свою бизнес-модель успешные практики в области мобильных платежей, онлайн-кредитования, цифровых транзакций и других передовые технологии. Сейчас в Альфе более 70 тысяч бизнес-клиентов и 1 100 000+ клиентов-физлиц. Сегодня в команде Альфа Банка более 2900 профессионалов. Мы объединяем людей с разным опытом, взглядами и интересами. Присоединяйся к команде. Вместе мы способны на большее! Ключевые задачи: поиск и привлечение партнёров (ЮЛ и ИП); осуществление исходящих телефонных звонков; составление баз потенциальных клиентов для последующего контакта и проведения личных встреч; подготовка и рассылка коммерческих предложений потенциальным клиентам банка; осуществление удержания существующих партнёров в программе лояльности; анализ рынка конкурентов; возможны командировки (при необходимости). Пожелания к кандидатам: опыт работы в продажах или в сфере обслуживания клиентов от 1 года; знание базовых принципов работы программ лояльности и маркетинга; умение работать с CRM-системами и другими инструментами автоматизации продаж; отличные навыки ведения переговоров; понимание специфики общения с партнёрами и умение выявлять потребности; клиентоориентированность, коммуникабельность; умение совмещать настойчивость и вежливость. Что предлагаем для твоего комфорта: работу в команде с высокой экспертизой; стабильный и прозрачный доход; среду роста и развития; сочетание стабильности банка и гибкости ИТ; крутую корпоративную культуру."
Прораб общестроительных работ/наружных сетей;СМУ№7;От 3 000 Br за месяц до вычета налогов;Два раза в месяц;1 3 года;Полная занятость;Трудовой договор;5/2;8;На месте работодателя или разъездной, Права категории B;Строительство, Производство строительно-монтажных работ, Руководство коллективом, Инженерные системы, Строительно-отделочные работы, Охрана труда и техника безопасности, Организаторские навыки, строительно-монтажные работы, Строительный контроль, Сопровождение строительства, Умение работать в коллективе, Управление производственным персоналом;https://grodno.rabota.by/vacancy/131684855;"Обязанности: сопровождение объекта по прокладке наружных и внутренних сетей теплоснабжения, общестроительные работы; контроль качества производства работ; организация и контроль работы подчинённого персонала; знание и понимание проектно-сметной документации; ведение технической и исполнительной документации; взаимодействие со службой заказчика, техническим надзором; оформление заявок на получение строительных материалов; списание стройматериалов по формам С 29 и С 19; ведение табелей учета рабочего времени; оформление нарядов на заработная плата рабочим. учет отходов с объекта, ведение журнала ПОД 9. Требования: высшее или среднее специальное образование по строительной специализации. Наличие квалификационного аттестата по специальности приветствуется; опыт работы в указанной должности от 2 лет; знание строительных норм и технологий; знание нормативных документов; уверенный пользователь ПК, владение программами AutoCad, MS Excel, MS Word, 1C:8; успешный опыт работы с персоналом; способность самостоятельно принимать решения при производстве работ и нести за них ответственность; умение работать как в команде, так и индивидуально; умение организовать работу, нацеленность на качество и результат; желательно наличие водительского удостоверения и личного авто (разъездной характер работы). Личные качества: ответственность; гибкость, умение договариваться; способность работать в команде на основе взаимовыручки и взаимоуважения; аналитика, логика; спокойствие, стрессоустойчивость; нацеленность на результат; максимализм, целеустремлённость; способность к саморазвитию. Условия: Достойная оплата труда, своевременные выплаты, возможность зарабатывать (оклад+ежемесячная премия по KPI); замена масла и фильтров автомобиля (если используется в служебных целях), установленный ежемесячный лимит топлива; постоянные объемы работ, работа в стабильной компании; трудоустройство по трудовому договору; медицинское страхование; возможность профессионального роста, развития в профессии; корпоративная мобильная связь; корпоративные мероприятия для сотрудников компании. Будем рады видеть Вас в нашей команде! Вакансия, планируемая к созданию."
Программист 1C;ОДО ЮКОЛА-ИНФО-Брест;Не указано;Не указано;3 6 лет;Полная занятость;Не указано;5/2;8;Удалённо;Не указаны;https://grodno.rabota.by/vacancy/131008792;ЮКОЛА-ИНФО-Брест ИТ-компания, которая помогает предприятиям становиться эффективнее и специализируется на автоматизации бизнес-процессов: мы умеем проектировать, разрабатывать, внедрять и сопровождать сложные ИТ-решения на платформе 1C:Предприятие 8. Являясь крупнейшим разработчиком ИТ-решений на 1C в РБ, мы реализуем самые масштабные и интересные проекты в Беларуси. В компании трудятся более 400 ИТ-специалистов, более трети из которых - разработчики. Мы быстро растем и предлагаем вам расти вместе с нами. Если вы разработчик в ЮКОЛА-ИНФО-Брест, то: развиваетесь как эксперт в своей области, решаете сложные задачи в команде единомышленников, где разработкой управляют системные архитекторы, а задачи ставят бизнес-аналитики, видите, как выполненная задача улучшает бизнес-процессы предприятия. Чем предстоит заниматься? Разработкой ERP-систем на платформе 1C:Предприятие 8 для крупных предприятий РБ и РФ всё это в составе профессиональной проектной команды. Что ищем в кандидате? оконченное высшее образование в сфере ИТ, опыт разработки на платформе 1C:Предприятие 8 (не менее 2 лет), желание и умение учиться, долгосрочный интерес к развитию в 1C, стремление работать в команде, наличие сертификатов 1C будет плюсом. Предлагаем своим сотрудникам: работу как из комфортного офиса, так и удаленно (или смешанный формат). Наш рабочий день начинается в 9:00, а заканчивается в 18:00 (при необходимости сможем скорректировать), зарплата и карьерный рост будут зависеть от ваших личных результатов: те, кто хорошо работают, хорошо зарабатывают, возможность профессионального роста до уровня системного архитектора, руководителя отдела разработки или руководителя проекта под руководством опытных наставников, кураторство в период адаптации. Вы сможете быстро освоиться в компании и начать работать продуктивно, постоянное повышение уровня знаний и компетенций: профильное обучение и сертификация за счёт компании, дважды в год - внутренние конференции для разработчиков, расширенный социальный пакет, включая добровольное медицинское страхование (коммерческие и гос. мед. учреждения), компенсацию расходов на спорт, корпоративные мероприятия, подарки на дни рождения и другие праздники, новогодние подарки и активности для детей, материальную помощь в связи со значимыми событиями, предоставление путевок на оздоровление в белорусские санатории.
